X,Z,Flexure_sb_m,Accumulation_sb_m,Xsl,Zsl,Flexure_sl_m
2640000.0,-276.36838940792796,118.85172193093233,-153.74548990846006,235.0,-1.467333586550061,-383.89198025132185
2670000.0,-269.16391720072255,120.66663933617285,-156.9925079903284,235.0,-1.664725369421798,-383.42082149857373
2660000.0,-218.6764691815904,122.58795413356862,-160.3258188016863,235.0,-3.002523094457819,-384.0385470032669
2670000.0,-235.99033843044722,121.17878979746672,-162.90776465745103,235.0,-3.0148444259642826,-385.8786259046623
2670000.0,-247.82765131388953,122.95020031459195,-164.5954930624849,234.0,-0.14103949204906593,-368.69467258892735
2670000.0,-243.1733240959731,124.70789084717254,-166.4760500148228,235.0,-4.458697142068255,-385.94584088556354
2690000.0,-230.030730496675,126.2990763480573,-168.72925316835045,237.0,-5.663989068717997,-427.7989126851759
2710000.0,-231.86276276804725,-715.0331264103476,1461.075764607939,237.0,-11.922140602948627,-428.1405167920013
2720000.0,-222.21334456881488,-674.2405226277117,1349.531311047882,237.0,-13.557986141556439,-427.65413652494925
2730000.0,-247.29306654244994,-712.0867274285162,1402.1873384901282,237.0,-1.6385592363113182,-430.3841977546228
2740000.0,-246.7402624062067,-750.0290601145736,1474.7529580769324,235.0,-0.720594141633367,-393.88029133382497
2740000.0,-229.45152327757827,-743.1706925887689,1486.7423729160703,240.0,-0.18909000088578992,-469.05279111426717
2740000.0,-236.47542160578723,-750.3818987876713,1486.7419706664507,240.0,-1.6086400054754486,-470.36375037441917
2740000.0,-238.11794035632516,-760.3017828447672,1494.2061126136612,239.0,-1.3426183678688615,-458.1480309724857
2740000.0,-236.81660623640673,-760.7160225301924,1494.2076794490604,239.0,-0.07472829185653332,-457.17279472792615
2740000.0,-241.12871326575757,-765.2384338146201,1494.2074587379386,239.0,-1.297064730326074,-458.5883235831259
2760000.0,-260.62254534452103,146.06315363418358,-208.59381623611503,237.0,-0.2235459717695852,-434.6797729778373
2770000.0,-259.6574482715557,-819.1261221267849,1641.9449203608874,239.0,-2.15914509952755,-459.35314742073587
2770000.0,-256.6407731663624,-834.6172690272526,1671.093981660297,239.0,-1.2060143327607906,-460.2266414369454
2770000.0,-260.0270389295217,-840.3927316899351,1677.238437563578,239.0,-1.4123003023240266,-460.33099724393475
2770000.0,-263.6056438929648,150.84839401299504,-220.2529522543633,239.0,-0.6382887081857096,-459.4675361968436
