,age_ka,sea_level_m
1053,52650.000,25.705
1054,52700.000,27.277
1055,52750.000,23.060
1056,52800.000,37.582
1057,52850.000,-3.498
1058,52900.000,51.708
1059,52950.000,53.843
1060,53000.000,69.984
1061,53050.000,34.861
1062,53100.000,59.303
1063,53150.000,82.022
1064,53200.000,71.702
1065,53250.000,55.036
1066,53300.000,84.137
1067,53350.000,67.577
1068,53400.000,63.247
1069,53450.000,38.523
1070,53500.000,44.134
1071,53550.000,25.787
1072,53600.000,38.607
1073,53650.000,37.273
1074,53700.000,33.276
1075,53750.000,27.521
1076,53800.000,47.019
1077,53850.000,36.881
1078,53900.000,46.045
1079,53950.000,41.799
1080,54000.000,29.712
1081,54050.000,50.279
1082,54100.000,35.277
1083,54150.000,25.797
1084,54200.000,35.640
1085,54250.000,28.692
1086,54300.000,28.486
1087,54350.000,26.362
1088,54400.000,28.539
1089,54450.000,30.762
1090,54500.000,28.137
1091,54550.000,26.731
1092,54600.000,17.732
1093,54650.000,11.362
1094,54700.000,20.880
1095,54750.000,42.608
1096,54800.000,31.140
1097,54850.000,37.916
1098,54900.000,32.483
1099,54950.000,24.903
1100,55000.000,22.527
1101,55050.000,29.751
1102,55100.000,28.777
1103,55150.000,42.762
1104,55200.000,35.216
1105,55250.000,27.674
1106,55300.000,33.015
1107,55350.000,26.681
1108,55400.000,24.226
1109,55450.000,11.118
1110,55500.000,16.272
1111,55550.000,9.690
1112,55600.000,1.076
1113,55650.000,18.107
1114,55700.000,-15.790
1115,55750.000,-16.509
1116,55800.000,-3.696
1117,55850.000,17.924
1118,55900.000,26.892
1119,55950.000,-9.974
1120,56000.000,1.812
1121,56050.000,-3.288
1122,56100.000,8.527
1123,56150.000,17.017
1124,56200.000,0.013
1125,56250.000,5.978
1126,56300.000,-0.860
1127,56350.000,3.758
1128,56400.000,6.651
1129,56450.000,6.878
1130,56500.000,13.088
1131,56550.000,25.880
1132,56600.000,15.755
1133,56650.000,14.531
1134,56700.000,24.223
1135,56750.000,28.281
1136,56800.000,27.000
1137,56850.000,48.327
1138,56900.000,20.812
1139,56950.000,25.239
1140,57000.000,15.488
1141,57050.000,15.442
1142,57100.000,12.028
1143,57150.000,22.112
1144,57200.000,15.616
1145,57250.000,37.225
1146,57300.000,34.351
1147,57350.000,42.432
1148,57400.000,30.723
1149,57450.000,35.711
1150,57500.000,25.820
1151,57550.000,51.839
1152,57600.000,46.659
1153,57650.000,53.246
1154,57700.000,56.086
1155,57750.000,55.779
1156,57800.000,38.553
1157,57850.000,46.527
1158,57900.000,49.558
1159,57950.000,43.965
1160,58000.000,78.568
1161,58050.000,60.241
1162,58100.000,44.695
1163,58150.000,30.046
1164,58200.000,27.738
1165,58250.000,26.201
1166,58300.000,22.653
1167,58350.000,29.902
1168,58400.000,49.758
1169,58450.000,46.270
1170,58500.000,28.399
1171,58550.000,43.923
1172,58600.000,29.575
1173,58650.000,37.558
1174,58700.000,36.082
1175,58750.000,38.532
1176,58800.000,37.578
1177,58850.000,33.042
1178,58900.000,23.568
1179,58950.000,35.717
1180,59000.000,29.645
1181,59050.000,23.441
1182,59100.000,18.448
1183,59150.000,29.517
1184,59200.000,27.849
1185,59250.000,31.692
1186,59300.000,22.042
1187,59350.000,24.618
1188,59400.000,32.869
1189,59450.000,21.526
1190,59500.000,24.043
1191,59550.000,25.566
1192,59600.000,14.789
1193,59650.000,14.545
1194,59700.000,21.338
1195,59750.000,32.375
1196,59800.000,23.368
1197,59850.000,17.764
1198,59900.000,31.491
1199,59950.000,17.373
1200,60000.000,32.552
1201,60050.000,15.707
1202,60100.000,31.020
1203,60150.000,26.447
1204,60200.000,25.355
1205,60250.000,33.195
1206,60300.000,34.010
1207,60350.000,37.825
1208,60400.000,33.907
1209,60450.000,34.624
1210,60500.000,37.555
1211,60550.000,36.199
